,DaysSinceLastStay,TotalRevenue,Tenure
0,0.13043478260869565,0.3714322427279602,0.0
1,0.17391304347826086,0.10135080871841855,0.0
2,0.875,0.13371560738206567,0.0
3,0.10960144927536232,0.18732231484604694,0.0
4,0.8840579710144928,0.10058786681443678,0.0
5,0.23550724637681159,0.24855844134984578,0.0
6,0.3432971014492754,0.09757625403556143,0.0
7,0.7635869565217391,0.807674392457318,0.004545454545454545
8,0.035326086956521736,0.0634044877045891,0.0
9,0.18659420289855072,0.12126760789604754,0.0
10,0.08786231884057971,0.19675870155318972,0.0
11,0.21195652173913043,0.26951926629081824,0.0
12,0.720108695652174,0.20358502385197386,0.0
13,0.6132246376811594,0.15997687081385872,0.0
14,0.6458333333333334,0.13251096227051554,0.0
15,0.6277173913043478,0.08761785444674693,0.0
16,0.18659420289855072,0.12247225300759769,0.0
17,0.5307971014492754,0.25518398946337156,0.0
18,0.19927536231884058,0.13050322041793197,0.0
19,0.7807971014492754,0.3794632101382945,0.0
20,0.4166666666666667,0.04284521113413335,0.0
21,0.11775362318840579,0.23418300968534747,0.0
22,0.2028985507246377,0.210411346150758,0.0
23,0.4375,0.45535585216595337,0.0
24,0.3088768115942029,0.06906631972887475,0.0
25,0.17210144927536233,0.12849547856534838,0.0
26,0.7726449275362319,0.0497919979440725,0.0
27,0.9193840579710145,0.16082012239194385,0.0
28,0.0769927536231884,0.05601599768708156,0.0
29,0.5815217391304348,0.09155302847781073,0.0
30,0.4230072463768116,0.19394786295957273,0.0
31,0.7789855072463768,0.3047752132221857,0.0
32,0.7056159420289855,0.16322941261504412,0.0
33,0.47192028985507245,0.5836505565460434,0.0
34,0.7989130434782609,0.37645159735941913,0.0
35,0.7744565217391305,0.14929568415811417,0.0
36,0.6702898550724637,0.14295121990395007,0.0
37,0.4891304347826087,0.26233155045856904,0.0
38,0.24818840579710144,0.1189386273470506,0.0
39,0.07518115942028986,0.2602033440948305,0.0
40,0.7554347826086957,0.11351772434507497,0.0
41,0.5289855072463768,0.2117766106105148,0.0
42,0.39492753623188404,0.18170063765881295,0.0
43,0.2653985507246377,0.059830707206990345,0.0
44,0.7237318840579711,0.09396231870091101,0.0
45,0.6105072463768116,0.03252541801185381,0.0
46,0.27807971014492755,0.15882041150677062,0.0
47,0.884963768115942,0.027365521450714043,0.0
48,0.0661231884057971,0.0646492876531909,0.0
49,0.7572463768115942,0.2126198621885999,0.0
51,0.2554347826086957,0.4001349202524949,0.0
52,0.5751811594202899,0.06063380394802377,0.0
53,0.8568840579710145,0.1750750895452872,0.0
54,0.5489130434782609,0.14536051012705037,0.0
55,0.7626811594202899,0.346777172778234,0.0
56,0.19927536231884058,0.060232255577507055,0.0
57,0.7318840579710145,0.10319793122279543,0.0
58,0.7807971014492754,0.1401403813103331,0.0
59,0.5579710144927537,0.15660386450151834,0.0
60,0.6394927536231884,0.09155302847781073,0.0
61,0.35507246376811596,0.17933150227276434,0.0
62,0.5117753623188406,0.0646492876531909,0.0
63,0.9211956521739131,0.2710451500987818,0.0
64,0.4375,0.07709728713920903,0.0
65,0.6865942028985508,0.06906631972887475,0.0
67,0.030797101449275364,0.06906631972887475,0.0
68,0.1766304347826087,0.06990957130695985,0.0
69,0.03170289855072464,0.29031947188358403,0.0
70,0.4954710144927536,0.7346327438603277,0.0
71,0.9202898550724637,0.16001702565091042,0.0
72,0.7445652173913043,0.09262917811079552,0.0
73,0.792572463768116,0.2210122231323992,0.0
74,0.21829710144927536,0.11085947413225435,0.0
75,0.401268115942029,0.14817134872066737,0.0
76,0.3088768115942029,0.0730818034340419,0.0
77,0.5869565217391305,0.058304823399026824,0.0
78,0.11684782608695653,0.1656387028381444,0.0
79,0.302536231884058,0.039432049984741285,0.0
80,0.7871376811594203,0.15700541287203507,0.0
81,0.10326086956521739,0.187563243868357,0.0
82,0.21195652173913043,0.08156250501935489,0.0
83,0.40217391304347827,0.07668770780128198,0.0
84,0.8079710144927537,0.06545238439422434,0.0
85,0.5172101449275363,0.14776980035015064,0.0
86,0.11322463768115942,0.25096773157294605,0.0
87,0.6748188405797102,0.03461346953854073,0.0
88,0.6612318840579711,0.057019868613373346,0.0
89,0.4855072463768116,0.09990523458455838,0.0
90,0.5914855072463768,0.1596154772803937,0.0
91,0.2980072463768116,0.07227870669300847,0.0
92,0.8251811594202899,0.3430226955139027,0.0
93,0.605072463768116,0.15700541287203507,0.0
94,0.7644927536231885,0.19571467578984625,0.0
95,0.7056159420289855,0.03260572768595715,0.0
96,0.5778985507246377,0.5734110730978672,0.0
97,0.23641304347826086,0.19194012110698916,0.0
98,0.3052536231884058,0.07790038388024247,0.0
99,0.5715579710144928,0.07930580317705097,0.0
100,0.03894927536231884,0.03373006312340395,0.0
101,0.2916666666666667,0.27164747265455685,0.0
102,0.08152173913043478,0.061533272297981216,0.0
103,0.5797101449275363,0.07838224192486251,0.0
